replay_time,time_H,coa_phase,eff_dist_H,approximant,chi_p,z,distance,spin2z,fref,time,right_ascension,spin1z,time_V,time_L,logpdraw,spin2x,mass1_source,snr_V,spin1y,lambda2,snr_L,chi_eff,snr_H,spin1x,mass2_source,declination,eff_dist_V,eff_dist_L,eccentricity,snr_net,spin2y,polarization,Mc_source,inclination,mass1,Mc,lambda1,mass2,flow,logpdraw_right_ascension_declination,logpdraw_z_mass1_source_mass2_source_spin1x_spin1y_spin1z_spin2x_spin2y_spin2z,logpdraw_lambda1_lambda2_GIVEN_mass1_source_mass2_source,logpdraw_inclination_polarization_coa_phase,logpdraw_eccentricity,logpdraw_time
1324069694.7058406,1263781694.7093108,4.400567538614084,658.2135881470886,b'IMRPhenomPv2_NRTidalv2',0.4891918464404369,0.205563158747617,1048.3209532715434,-0.0832131152324556,10.0,1263781694.7231612,1.9225623735005093,-0.6068677546754628,1263781694.7075472,1263781694.7058406,-22.034471134303395,-0.0632250740562994,13.124796080542517,3.1531488626595814,-0.5457804254636336,0.0,9.6880273430949,-0.3664365627896946,6.309412822862693,-0.5026221383726919,11.1417694831384,0.7294166848195558,728.5315866666084,781.406089606319,0.0,11.9836935758534,-0.1806931565951445,2.837341870814225,10.520257670178058,0.4589019796394679,15.82277062077718,12.682835067698706,0.0,13.432106812130137,10.0,-2.8246395251547,-11.318613218208704,0.0,-4.490021009277837,0.0,-inf
1324756678.1909122,1264468678.1905549,6.106271979504412,1376.0355289165389,b'IMRPhenomPv2_NRTidalv2',0.1651235351155841,0.2930066546844428,1565.9814189410288,0.2689089385948596,10.0,1264468678.170768,4.211953411773795,0.0007073195089776,1264468678.1802995,1264468678.1909122,-15.184736505897051,0.4638996079988782,53.73617209184437,3.22480816819316,-0.0037883271634076,0.0,16.11785390811446,0.0946649298605347,11.420584861761483,0.0012240654356131,28.97616024713924,-0.8531094433257975,773.028578526751,1399.1028002236906,0.0,20.01535312977669,-0.0075713198968297,0.4687267138380224,34.03066870313753,2.7931863443712457,69.4812281120232,44.00188109651842,0.0,37.46636802675385,10.0,-2.950115933765931,-4.082969476555622,0.0,-4.750453713913342,0.0,-inf
1324846112.8414783,1264558112.8392406,1.4887941679115353,1544.489370577916,b'IMRPhenomPv2_NRTidalv2',0.7086487565281242,0.2953435611834545,1580.3346410369563,-0.0451775853171637,10.0,1264558112.860468,0.7530042561830387,0.3984488178564829,1264558112.8573463,1264558112.8414783,-25.256166178472053,-0.489187165887811,22.942322822251445,0.7183634401845133,-0.5411339825763061,0.0,8.825328736067556,0.2615380081961496,7.55469398660304,0.5975631126489377,10.240926967891015,0.7757283897893243,309.7583857887435,1383.2240154549297,0.0,11.639410404443588,-0.031171762550783,0.6595882717316192,13.134157202027836,0.2112793548849268,29.718190146395628,17.013245963218054,0.0,13.265518808407624,10.0,-2.868020971157345,-13.749168699149092,0.0,-5.237779126503462,0.0,-inf
1322664695.1968572,1262376695.1983914,5.271821113116036,1374.3206687938773,b'IMRPhenomPv2_NRTidalv2',0.377100824189869,0.2907542094300472,1552.1725088319276,-0.1415506732739954,10.0,1262376695.2176526,5.336943942211337,-0.4689117415125574,1262376695.2170043,1262376695.1968572,-21.87436592766418,-0.3022080859256788,10.931796700704016,1.2141362839224816,0.4092338575931131,0.0,7.646994738768382,-0.3150124237723852,5.525035422907573,0.127477204013181,9.698945439434098,0.4383509996182612,663.8306415562241,1477.546857922499,0.0,9.511922617172193,-0.1022049386035876,0.4911342913828,8.96079759085775,2.908566909163357,14.110262608067211,11.566187210250266,0.0,12.518954652981922,10.0,-2.6303443679971563,-10.701397100695994,0.0,-5.141427077308877,0.0,-inf
1322687978.7054913,1262399978.7109106,0.8919475166644276,3031.4430210923488,b'IMRPhenomPv2_NRTidalv2',0.0487790900184245,0.6465094980566664,3992.662660233519,-0.0080140177917159,10.0,1262399978.6922946,3.038453895889303,-0.0073848487125038,1262399978.687506,1262399978.7054913,-12.749291366360891,0.0313203010200711,43.35523935012506,0.8026146034855309,0.0373286681125934,0.0,5.008450944520721,-0.0076761856834002,5.17068512732266,0.0507358129744428,37.38834703345238,-0.5554805905052719,944.1098042750954,2162.3426253501825,0.0,7.243255880563276,0.0079028622406704,2.506728492129561,35.03040068119815,0.5540120745819516,71.38481338050104,57.677887442323474,0.0,61.56026850721813,10.0,-2.693958441285672,-2.3361239123765354,0.0,-4.318011631036527,0.0,-inf
1323209360.8346484,1262921360.8401227,1.5932502589427278,2095.446538364702,b'IMRPhenomPv2_NRTidalv2',0.2749545647908288,0.5298938082224522,3140.7087888593605,0.0238239657245987,10.0,1262921360.854117,1.3818984015228346,-0.0882792958045074,1262921360.8537726,1262921360.8346484,-20.55086163779069,0.1213143246128125,60.0725695746921,2.0297465946436786,-0.295094797804518,0.0,11.268224176650666,-0.0353370441947878,5.922909433945347,0.2095632202456479,53.75799192068148,0.1276107597027639,1387.884758195551,2724.012294822907,0.0,12.890834088469257,0.1299231730438405,1.3624223326644234,49.45608936099418,0.3402891996457419,91.90465223633392,75.66256489228128,0.0,82.2440189819232,10.0,-2.539188695168096,-9.8373874895553,0.0,-4.773088071405141,0.0,-inf
1322914217.3430154,1262626217.3463006,5.121787669791494,229.7452517223962,b'IMRPhenomPv2_NRTidalv2',0.1836402579525765,0.0786811197756561,370.8168078321764,0.0016456707827899,10.0,1262626217.3622682,4.694418253126302,-0.1721924533808396,1262626217.3662145,1262626217.3430154,-16.11992016184993,-0.0015376176554404,28.38114218091176,9.35794473540478,0.3361207397653847,0.0,45.7331074362083,-0.0907226972316536,30.688931083876955,-0.0263072350359009,25.032430283413657,0.135008943794814,151.4924020270973,268.79942480004706,0.0,55.86500457812217,-0.0094722849448861,1.6215312334388767,23.19473449613245,0.6572949864569574,30.61420222821801,25.0197221791872,0.0,27.00200992881869,10.0,-2.540165776299651,-6.010108006855648,0.0,-4.168448997032476,0.0,-inf
1324977951.6881762,1264689951.6839056,4.063662355281186,744.7234462155079,b'IMRPhenomPv2_NRTidalv2',0.2325496588804431,0.2648446668777217,1395.0865102578923,0.0943676618872932,10.0,1264689951.675666,2.588510741609662,0.0017752931394441,1264689951.6943853,1264689951.6881762,-15.456891590193456,-0.492929762201783,38.70310552154909,6.364362611687277,0.0013571845172687,0.0,13.076937910330503,0.0438778473043091,8.548847219181527,0.0074220347543105,32.273828098364184,-0.632990238196957,1160.469528547676,877.4919840960363,0.0,16.86992013438682,0.0969707846090838,0.7084134958669576,30.74215661509863,2.7933497187122645,48.953416610537055,38.88405284292717,0.0,40.82137934994429,10.0,-2.7463705072181197,-4.558420082746019,0.0,-4.750903618567162,0.0,-inf
1325581835.0320387,1265293835.0325804,1.050887834917515,486.2222312842621,b'IMRPhenomPv2_NRTidalv2',0.2629773764072065,0.1421476868014324,698.1191748213575,-0.1625360541447797,10.0,1265293835.0528936,4.521598305080494,0.0427334454227248,1265293835.0471785,1265293835.0320387,-19.93658925195991,-0.3827109630277838,36.35409741780794,4.890426000833152,0.0470648382979583,0.0,29.59175007244852,-0.0592246808059567,21.935720294548908,-0.0304414467150843,35.87790514891707,0.6988601120554857,228.73740943560705,498.9421865299137,0.0,37.1586297333549,0.2773625153139241,1.8821757137744983,31.43998537413029,2.384296938425046,41.52174827150327,35.90910656813378,0.0,40.97786637311684,10.0,-2.7981510000384877,-9.68600572759006,0.0,-4.051235142669209,0.0,-inf
1322691652.495831,1262403652.5010314,5.037607038891801,59.41566387346828,b'IMRPhenomPv2_NRTidalv2',0.4660449309104354,0.1456483299028576,716.8638438253859,0.0880153110740908,10.0,1262403652.510157,1.049403922641556,0.4052666084998305,1262403652.519702,1262403652.495831,-23.809695610253662,0.3406806871445729,50.760499995652815,5.036711463772497,0.0699456765400326,0.0,5.331029210628527,0.2587700264557896,5.119664584819782,0.5643937438438935,43.549249785500784,-0.2820697785676234,180.16841257965925,87.06950569129133,0.0,8.944232794093065,0.0625653278634422,1.9348849025064911,40.90652831017271,1.4237641177732374,58.153682045053664,46.864495840673335,0.0,49.89212528528136,10.0,-2.5713449243067394,-14.150550763691294,0.0,-3.686602540593472,0.0,-inf
